0,1,2
24.88,23.52,25.37
14.88,15.1,14.89
24.61,22.9,17.33
14.77,11.63,9.88
25.77,21.45,19.16
24.58,24.76,24.4
24.33,18.0,20.13
31.83,26.59,26.02
20.83,20.12,21.83
24.42,10.83,16.92
18.14,18.65,17.96
18.48,16.98,17.52
24.39,20.91,22.56
36.99,27.57,27.47
26.53,24.28,26.48
23.49,10.37,15.83
14.67,14.94,16.72
24.06,15.56,12.23
23.55,21.79,22.19
19.28,19.14,19.23
27.33,25.81,27.91
17.69,14.39,14.56
19.17,17.28,18.76
18.85,19.04,19.8
16.88,18.01,17.12
21.26,17.15,19.63
16.76,15.3,14.67
31.34,19.61,19.76
16.68,17.44,17.51
18.81,10.25,13.48
24.16,21.61,22.57
21.02,14.06,11.62
22.19,16.39,18.44
21.3,13.07,17.05
12.39,10.8,12.52
26.2,19.65,18.18
9.87,10.64,10.03
16.63,14.44,16.49
13.65,12.96,13.22
19.77,18.73,19.3
17.45,16.29,15.94
15.9,19.7,17.05
19.71,20.09,18.53
14.0,17.31,15.72
21.13,17.35,17.98
20.1,13.87,13.44
19.54,22.36,16.12
44.43,19.33,19.35
21.07,8.99,13.12
11.21,8.55,9.45
29.02,21.68,27.62
19.22,13.42,13.59
23.05,14.79,16.67
20.13,17.75,18.52
13.55,12.23,12.43
29.39,15.75,17.47
23.12,18.69,17.12
17.16,13.92,12.32
14.7,13.92,14.48
11.36,13.02,11.43
12.09,12.55,12.27
20.15,19.99,18.85
26.26,19.96,23.22
17.73,12.77,14.15
29.16,24.87,27.75
15.94,17.91,15.21
19.4,19.12,17.5
14.06,10.24,11.76
18.37,19.22,18.34
20.55,14.13,13.59
21.38,16.37,17.74
18.26,18.67,15.21
34.11,18.48,14.8
34.03,9.57,10.0
25.12,15.71,17.47
26.78,20.81,21.49
16.78,12.57,11.3
18.3,17.86,18.63
24.11,16.35,25.04
16.15,7.7,6.88
20.65,14.95,13.97
18.05,11.67,16.92
22.28,18.98,19.97
35.85,12.96,13.79
35.53,11.45,11.77
22.89,21.76,21.87
15.85,12.44,12.37
17.8,17.7,15.84
28.47,6.18,9.95
22.18,18.04,18.62
26.95,26.53,27.0
21.9,20.16,22.87
21.83,18.22,17.48
26.73,21.99,21.93
19.58,16.78,17.6
21.02,17.75,13.53
11.06,10.31,9.25
16.29,18.2,16.37
34.67,21.33,28.63
16.26,15.4,15.5
23.23,14.18,17.31
30.81,27.13,27.87
14.35,16.4,16.41
20.6,14.71,12.96
32.93,24.59,13.66
23.77,21.39,21.87
20.88,18.06,16.9
17.16,16.04,16.28
31.36,13.85,11.96
24.27,19.46,19.73
20.72,21.13,20.91
14.8,12.47,14.05
21.69,16.45,17.72
28.81,14.03,14.94
21.01,17.12,19.97
14.65,11.37,13.21
18.77,12.83,13.82
25.95,21.71,21.93
17.26,16.52,14.57
24.46,21.25,23.03
34.45,31.51,12.14
34.06,26.06,14.25
27.68,23.97,25.81
29.1,28.49,26.99
21.23,22.48,20.4
21.05,18.5,21.82
14.91,16.83,15.12
15.48,12.69,9.95
15.87,10.88,15.15
18.86,18.17,18.73
13.29,12.83,12.35
21.56,18.43,21.13
37.25,15.62,15.17
28.24,24.04,23.21
10.65,6.87,8.31
19.11,18.83,20.53
9.33,13.64,13.68
18.65,16.89,18.75
15.74,14.54,13.02
26.92,18.41,20.23
35.75,10.29,10.3
21.61,13.69,14.37
29.14,23.92,23.7
20.44,16.97,20.09
15.88,13.07,12.51
19.08,12.52,14.16
22.4,19.53,20.45
20.58,12.42,16.02
22.52,15.76,18.0
36.91,27.83,27.35
17.3,16.75,16.76
17.58,18.16,17.84
21.42,21.23,22.01
21.49,18.2,19.14
16.2,13.7,13.51
20.8,12.18,12.71
20.74,15.9,15.47
8.85,8.01,8.39
24.69,13.36,20.98
21.97,12.76,11.97
29.03,25.07,25.12
14.75,13.8,14.94
60.0,22.02,39.42
19.3,16.56,17.03
12.86,14.85,14.46
22.1,16.14,19.53
14.79,14.23,15.19
20.43,16.5,18.73
21.52,17.67,17.1
12.52,13.22,11.04
21.33,26.28,26.15
29.61,15.88,20.46
21.95,18.5,19.52
25.2,24.75,25.08
19.02,11.53,12.19
17.48,16.51,16.6
27.23,15.16,18.55
17.67,19.0,18.94
15.82,13.58,12.88
21.96,24.08,22.26
18.1,13.58,14.06
18.36,18.63,16.3
27.92,18.88,17.78
16.72,12.76,15.38
21.59,22.16,18.44
11.24,12.38,12.1
19.27,12.28,14.89
11.21,10.94,11.55
14.76,10.71,11.44
22.57,24.73,26.18
28.92,20.67,19.26
17.13,16.68,18.44
19.54,17.39,18.52
19.69,14.48,19.61
19.03,18.78,20.75
19.92,18.35,19.88
25.73,17.96,20.11
17.35,13.19,15.78
20.66,19.56,18.03
23.55,22.28,21.36
21.46,12.11,13.53
21.29,18.5,19.16
12.4,12.5,12.56
11.9,15.07,13.1
25.32,29.44,27.39
15.42,16.4,18.53
26.27,19.39,22.36
20.29,18.37,18.64
31.06,11.09,11.77
27.75,20.88,12.81
15.98,12.11,10.92
20.14,10.88,19.37
15.03,13.2,14.79
19.2,17.02,17.98
15.47,15.39,15.49
26.84,19.11,19.65
38.27,27.37,27.33
20.78,19.92,20.24
25.13,25.13,24.75
18.75,19.3,15.95
12.05,14.18,13.94
24.52,22.49,20.37
35.26,28.74,13.7
16.34,11.43,12.11
16.03,14.59,11.52
11.34,11.59,11.95
10.4,10.29,11.85
22.17,18.8,18.53
19.81,20.85,20.51
18.72,15.85,13.8
21.61,17.78,17.8
11.07,6.27,7.12
27.04,15.88,16.92
17.5,17.23,16.64
25.26,24.7,25.24
19.11,16.53,19.22
12.42,11.25,11.93
21.12,11.52,13.92
23.2,15.93,17.34
28.4,12.21,10.66
21.21,23.31,21.15
